Day,Group,Dietziaceae,Bogoriellaceae,Mycobacteriaceae,Nocardiaceae,Nocardioidaceae,Microbacteriaceae,Micrococcaceae,Micromonosporaceae,Propionibacteriaceae,Thermomonosporaceae,Coriobacteriaceae,Patulibacteraceae,NA Actinobacteria,Others
15,SG1,0.014364249,0.034403263,0.001241355,0.707217592,0.086540167,0.053910268,0.02961518,0.00443341,0,0,0.000709346,0,0.00248271,0.065082461
22,SG1,0.00805404,0.011691348,0.013250195,0.087295401,0.397505846,0.38555469,0.034034814,0.004156924,0.000519615,0.000259808,0.001818654,0.003897116,0,0.051961548
29,SG1,0.005649718,0.004519774,0.012655367,0.054915254,0.604067797,0.233672316,0.018757062,0.002937853,0.000451977,0.000451977,0.001355932,0.00700565,0,0.053559322
43,SG1,0.012788064,0.007326495,0.006926868,0.092979885,0.463700546,0.267084055,0.078193686,0.009591048,0.000666045,0.000399627,0.001065672,0.003197016,0,0.056080991
57,SG1,0.026596724,0.016381373,0.020522731,0.085956194,0.399134916,0.32201362,0.055678262,0.008558807,0.000552181,0.000828272,0.001472483,0.003681207,0,0.058623228
0,SG2,0,0,0,0,0.071428571,0.142857143,0,0,0,0,0.785714286,0,0,0
2,SG2,0,0.002331002,0,0.020979021,0.750582751,0.055944056,0.041958042,0,0,0,0.123543124,0,0,0.004662005
4,SG2,0,0.00067981,0.003399048,0.013596193,0.84228416,0.0985724,0.021074099,0,0,0,0.011556764,0,0,0.008837525
6,SG2,0,0.001891253,0.004728132,0.01891253,0.706382979,0.206619385,0.042553191,0,0,0,0.005673759,0,0,0.013238771
8,SG2,0,0.002539503,0.011851016,0.019187359,0.684255079,0.226580135,0.020880361,0.005925508,0.000282167,0.000564334,0.002539503,0.002257336,0,0.023137698
15,SG2,0.000595948,0.001191895,0.100317839,0.01946762,0.438021454,0.289829162,0.036352801,0.005363528,0.001191895,0,0.001191895,0.047874454,0,0.05860151
22,SG2,0.001295505,0.000388651,0.114133955,0.015675606,0.487887032,0.248736883,0.021246275,0.002072807,0.000388651,0.000906853,0.000259101,0.049747377,0,0.057261303
29,SG2,0.000929245,0.001194743,0.115226337,0.023629364,0.462100093,0.223682464,0.029868578,0.005708217,0.000132749,0.000796495,0.000398248,0.073941325,0,0.062392141
43,SG2,0.012325831,0.001964987,0.052518757,0.012861736,0.471775634,0.314933905,0.056448732,0.001429082,0.001071811,0.000893176,0,0.013219007,0,0.060557342
57,SG2,0.014689978,0.001171593,0.119772891,0.012436914,0.372296323,0.284336698,0.057768565,0.00946287,0.001171593,0.000540735,0.000540735,0.052992069,0,0.072819034
0,SG3,0,0,0.097560976,0,0,0.024390244,0,0.024390244,0,0,0.780487805,0,0,0.073170732
2,SG3,0,0,0.005444646,0.132486388,0.444646098,0.10707804,0.049001815,0.005444646,0,0,0.250453721,0,0,0.005444646
4,SG3,0.003595685,0.006392329,0.005992809,0.253296045,0.573711546,0.071913704,0.025968837,0.004794247,0,0,0.046344387,0,0,0.007990412
6,SG3,0.000500751,0.003755633,0.004757136,0.100650976,0.674762143,0.124937406,0.019278918,0.00450676,0.000250376,0,0.046569855,0.000250376,0,0.01977967
8,SG3,0.002816901,0.007243461,0.014889336,0.231790744,0.531589537,0.12917505,0.028169014,0.013279678,0,0.002816901,0.012072435,0.004024145,0,0.022132797
15,SG3,0.001956756,0.005674592,0.106643186,0.156638294,0.401134918,0.118481558,0.044516192,0.007142158,0.00088054,0.038743763,0.001174053,0.041385383,0,0.075628608
22,SG3,0.001877787,0.005398639,0.136765511,0.135591894,0.367342149,0.094437055,0.01439637,0.00821532,0.00070417,0.061575777,0.000860653,0.087004147,0,0.08583053
29,SG3,0.002002465,0.004929144,0.134242144,0.104898336,0.386783734,0.118992606,0.023028343,0.007470733,0.00107825,0.090033888,0.000308071,0.043052988,0,0.083179298
43,SG3,0.001364522,0.006773879,0.141861598,0.116764133,0.386062378,0.110136452,0.015643275,0.009844055,0.001023392,0.076754386,9.74659E-05,0.044395712,0,0.089278752
57,SG3,0.001386302,0.00472209,0.180825716,0.124030672,0.313953992,0.103972621,0.013039899,0.013299831,0.000519863,0.123424165,0.000173288,0.022657367,0,0.097994195
